,g,repr_ATPases
7028,g__Minwuia,FH
7029,g__Mitsuaria,FH
7030,g__Mitsuokella,FH
7031,g__Mixta,FH
7032,g__Mizugakiibacter,FH
7033,g__MnB-11,FH
7034,g__MnTg02,q FH
7035,g__MnTg04,FH
7036,g__Moanabacter,FH
7037,g__Mobilibacterium,ANa
7038,g__Mobilicoccus,FH
7039,g__Mobilisporobacter,FH AH ANa
7040,g__Mobiluncus,FH
7041,g__Modestobacter,FH
7042,g__Moduliflexus,AH ANa ANa
7043,g__Moellerella,FH
7044,g__Mogibacterium,ANa
7045,g__Moheibacter,FH
7046,g__Monaibacterium,FH
7047,g__Monashia,FH
7048,g__Mongoliibacter,FH
7049,g__Mongoliimonas,FH
7050,g__Mongoliitalea,FH
7051,g__Monoglobus,ANa
7052,g__Moorea,FH
7053,g__Moorella,FH
7054,g__Mor1,FH
7055,g__Moranella,nothing
7056,g__Moraxella,FH
7057,g__Moraxella_A,FH
7058,g__Moraxella_C,FH
7059,g__Morganella,FH
7060,g__Moritella,FH
7061,g__Motilibacter,FH
7062,g__Motilimonas,FH
7063,g__Motiliproteus,FH
7064,g__Mt11,FNa AH
7065,g__Mucilaginibacter,FH
7066,g__Mucinivorans,ANa
7067,g__Mucispirillum,FH
7068,g__Muirbacterium,ANa
7069,g__Mumia,FH
7070,g__Murdochiella,AH ANa
7071,g__Muribacter,FH
7072,g__Muribaculum,FH
7073,g__Muricauda,FH
7074,g__Muricauda_A,FH
7075,g__Muricomes,FH AH ANa
7076,g__Muriicola,FH
7077,g__Murimonas,FNa AH
7078,g__Murinocardiopsis,FH
7079,g__Mxb001,FH
7080,g__Myceligenerans,FH
7081,g__Mycetocola,FH
7082,g__Mycetocola_A,FH
7083,g__Mycetocola_B,FH
7084,g__Mycetohabitans,FH
7085,g__Mycoavidus,FH
7086,g__Mycobacterium,FH
7087,g__Mycoplana,FH
7088,g__Mycoplasma,FH
7089,g__Mycoplasma_H,FH
7090,g__Mycoplasma_J,FH
7091,g__Mycoplasma_K,FH
7092,g__Mycoplasma_L,FH
7093,g__Mycoplasmoides,FNa
7094,g__Mycoplasmopsis,FH
7095,g__Mycoplasmopsis_A,FH
7096,g__Mycoplasmopsis_B,FNa
7097,g__Myroides,FH
7098,g__Myxacorys,FH
7099,g__Myxococcus,FH
7100,g__Myxosarcina,FH
7101,g__N074bin45,FH
7102,g__N074bin48,FH
7103,g__N075bin58,FH
7104,g__N075bin59,FH
7105,g__N075bin62,q FH
7106,g__N1521,AH
7107,g__NAK19,FH
7108,g__NAK82,FH
7109,g__NAT5454,FH
7110,g__NBD-18,FH
7111,g__NBLH01,q FH
7112,g__NBLI01,ANa
7113,g__NBLK01,q N-
7114,g__NBLS01,nothing
7115,g__NBML01,FH
7116,g__NC2004,FH
7117,g__NCCP-1664,FH
7118,g__NCED01,FH
7119,g__NCEH01,FH
7120,g__NDHX01,ANa
7121,g__NHYM01,FH
7122,g__NHYN01,FH
7123,g__NIC37A-2,FH
7124,g__NICIL-2,FH
7125,g__NIOZ-UU100,FH AH
7126,g__NIOZ-UU106,FH
7127,g__NIOZ-UU13,ANa
7128,g__NIOZ-UU15,FH AH AH NH NNa
7129,g__NIOZ-UU35,FH
7130,g__NIOZ-UU36,FH
7131,g__NK3B98,ANa
7132,g__NK4A136,FH FNa
7133,g__NK4A144,FH FNa
7134,g__NM07-P-09,FH
7135,g__NM3,AH ANa
7136,g__NML-160184,FH
7137,g__NMUJ01,nothing
7138,g__NORP110,FH NNa
7139,g__NORP154,FH
7140,g__NORP165,nothing
7141,g__NORP181,nothing
7142,g__NORP36,FH
7143,g__NP-4,AH
7144,g__NP-7,q AH
7145,g__NP136,q FH
7146,g__NP1466,nothing
7147,g__NPL-UPA2,ANa
7148,g__NS-102,FH
7149,g__NS-11,FH
7150,g__NS-12,FH
7151,g__NS-4,FH
7152,g__NS-7,FH
7153,g__NSCAC1,FH
7154,g__NSJ-32,FNa AH
7155,g__NSJ-38,FNa AH
7156,g__NSJ-40,AH ANa
7157,g__NSJ-50,FNa AH
7158,g__NSJ-53,FH
7159,g__NSJ-54,FNa AH
7160,g__NSJ-61,FNa AH
7161,g__NSJ-62,AH ANa
7162,g__NSJ-63,ANa
7163,g__NZ13-MG1,AH
7164,g__NZ13-RE01,FH ANa
7165,g__NZBF01,nothing
7166,g__NZNC01,FH
7167,g__Naasia,FH
7168,g__Nafulsella,FH
7169,g__Naiadarchaeum,AH
7170,g__Naka2016,FH
7171,g__Nakamurella,FH
7172,g__Nannocystis,FH
7173,g__Nanoarchaeum,ANa
7174,g__Nanoclepta,nothing
7175,g__Nanopelagicus,FH
7176,g__Nanopusillus,nothing
7177,g__Nanosalina,AH
7178,g__Nanosalinarum,AH
7179,g__NaphS2,FH ANa NNa
7180,g__Nardonella,nothing
7181,g__Natranaerobius,FNa
7182,g__Natranaerobius_A,FNa
7183,g__Natranaerovirga,FNa
7184,g__Natrarchaeobaculum,AH
7185,g__Natrarchaeobius,AH
7186,g__Natrialba,AH
7187,g__Natribacillus,FH
7188,g__Natrinema,AH
7189,g__Natronincola,FNa
7190,g__Natronincola_A,FNa
7191,g__Natronoarchaeum,AH
7192,g__Natronobacterium,AH
7193,g__Natronobacterium_A,AH
7194,g__Natronococcus,AH
7195,g__Natronoflexus,FH ANa
7196,g__Natronolimnobius,AH
7197,g__Natronolimnohabitans,AH
7198,g__Natronomonas,AH
7199,g__Natronorubrum,AH
7200,g__Natronospirillum,FH
7201,g__Naumannella,FH
7202,g__Nautilia,FH AH
7203,g__Ndongobacter,AH ANa
7204,g__Necropsobacter,FH
7205,g__Negadavirga,FH
7206,g__Negativibacillus,ANa
7207,g__Negativicoccus,FH
7208,g__Neiella,FH
7209,g__Neisseria,FH
7210,g__Neoactinobaculum,FH
7211,g__Neoasaia,FH
7212,g__Neobacillus,FH
7213,g__Neobittarella,AH ANa
7214,g__Neochlamydia,ANa
7215,g__Neoehrlichia,FH
7216,g__Neofamilia,ANa
7217,g__Neokomagataea,FH
7218,g__Neomegalonema,FH
7219,g__Neomicrococcus,FH
7220,g__Neorhizobium,FH
7221,g__Neorickettsia,FH
7222,g__Neosynechococcus,FH AH
7223,g__Neptunicella,FH NNa
7224,g__Neptuniibacter,FH ANa
7225,g__Neptunomonas,FH ANa
7226,g__Nereida,FH
7227,g__Nesciobacter,FH
7228,g__Nesterenkonia,FH
7229,g__Nevskia,FH
7230,g__Niabella,FH
7231,g__Niallia,FH
7232,g__Niameybacter,FNa AH
7233,g__Niastella,FH
7234,g__Nibribacter,FH
7235,g__Nibricoccus,FH
7236,g__Nicoletella,FH
7237,g__Nigerium,FH
7238,g__Nioella,FH
7239,g__Nisaea,FH NNa
7240,g__Nitratidesulfovibrio,FH
7241,g__Nitratifractor,FH
7242,g__Nitratireductor,FH
7243,g__Nitratireductor_A,FH
7244,g__Nitratireductor_C,FH
7245,g__Nitratiruptor,FH
7246,g__Nitratiruptor_A,FH
7247,g__Nitriliruptor,FH
7248,g__Nitrincola,FH ANa
7249,g__Nitritalea,FH
7250,g__Nitrobacter,FH
7251,g__Nitrococcus,FH ANa
7252,g__Nitrolancea,FH
7253,g__Nitrosarchaeum,AH
7254,g__Nitrosarchaeum_A,AH
7255,g__Nitrosocaldus,AH
7256,g__Nitrosococcus,FH AH
7257,g__Nitrosocosmicus,AH
7258,g__Nitrosoglobus,FH
7259,g__Nitrosomonas,FH
7260,g__Nitrosopelagicus,AH
7261,g__Nitrosopumilus,AH
7262,g__Nitrososphaera,AH
7263,g__Nitrosospira,FH NH
7264,g__Nitrosotalea,AH
7265,g__Nitrosotenuis,AH
7266,g__Nitrospina,FH
7267,g__Nitrospira_A,FH
7268,g__Nitrospira_C,FH
7269,g__Nitrospira_D,FH
7270,g__Nitrospira_E,FH
7271,g__Nitrospira_F,FH
7272,g__Nitrospirillum,FH
7273,g__Nitrotoga,FH
7274,g__Niveibacterium,FH
7275,g__Niveispirillum,FH
7276,g__Nocardia,FH
7277,g__Nocardioides,FH
7278,g__Nocardioides_A,FH
7279,g__Nocardioides_B,FH
7280,g__Nocardiopsis,FH
7281,g__Nocardiopsis_A,FH
7282,g__Nocardiopsis_B,FH
7283,g__Nocardiopsis_C,FH
7284,g__Nodosilinea,FH
7285,g__Nodularia,FH
7286,g__Nonlabens,FH
7287,g__Nonomuraea,FH
7288,g__Nordella,FH
7289,g__Nosocomiicoccus,FH
7290,g__Nostoc,FH
7291,g__Nostoc_B,FH
7292,g__Nostoc_C,FH
7293,g__Notoacmeibacter,FH
7294,g__Novibacillus,FH
7295,g__Noviherbaspirillum,FH
7296,g__Novimethylophilus,FH
7297,g__Novispirillum,FH
7298,g__Novosphingobium,FH
7299,g__Novosphingopyxis,FH
7300,g__Nucleicultrix,FH
7301,g__Numidum,FH
7302,g__Nyctobacter,FH
7303,g__O-77,FH
7304,g__O2-01-FULL-39-8,q FH
7305,g__O2-01-FULL-48-27b,nothing
7306,g__O2-02-FULL-42-17,FH
7307,g__O2-02-FULL-42-9,FH
7308,g__O2-02-FULL-48-8,FH
7309,g__O2-02-FULL-57-9,FH
7310,g__O2-12-FULL-27-8,ANa
7311,g__O2-12-FULL-42-9,FH
7312,g__O2-12-FULL-43-9,FH
7313,g__O2-12-FULL-44-13,nothing
7314,g__O2-12-FULL-45-9,FH
7315,g__O2-12-FULL-45-9-A,FH
7316,g__O2-12-FULL-49-9,q ANa
7317,g__O2-12-FULL-51-8,nothing
7318,g__O2-12-FULL-59-9,q F-
7319,g__O2-FULL-52-10,ANa
7320,g__OACT-916,FH
7321,g__OB1-4,FH ANa
7322,g__OCS116,FH
7323,g__OEMS01,FH FNa
7324,g__OEQK01,FH
7325,g__OESV01,FH
7326,g__OF09-33XD,AH ANa
7327,g__OHK22,FH
7328,g__OHK40,FH
7329,g__OLB10,FH
7330,g__OLB11,FH
7331,g__OLB13,FH
7332,g__OLB14,AH
7333,g__OLB15,FH
7334,g__OLB16,FH
7335,g__OLB17,FH
7336,g__OLB18,FH
7337,g__OLB19,FH
7338,g__OLB20,FNa
7339,g__OLB21,FNa
7340,g__OLB22,nothing
7341,g__OLB23,q FH
7342,g__OLB4,FH
7343,g__OLB5,FH
7344,g__OLB6,FH
7345,g__OLB7,FH
7346,g__OLB8,FH
7347,g__OLB9,FH
7348,g__OLZORAL124-38-8,ANa
7349,g__OM05-12,FH ANa
7350,g__OM182,FH
7351,g__OMHY01,FH
7352,g__OMII01,FH
7353,g__OMIS01,FH
7354,g__OMIW01,FH
7355,g__OMJI01,FH
7356,g__OMJK01,FH
7357,g__OMJO01,FH
7358,g__OMJR01,FH
7359,g__OMPR01,FH AH
7360,g__OPU3-GD-OMZ,FH
7361,g__OR-1,FH
7362,g__ORNL1,FH
7363,g__OSU-TB39,FH
7364,g__OWC5,AH
7365,g__OXYB2-FULL-32-7,FH
7366,g__OXYB2-FULL-41-6,q N-
7367,g__OXYB2-FULL-48-7,q FH
7368,g__OXYB2-FULL-48-7-A,FH
7369,g__OXYB2-FULL-49-7,FH NNa
7370,g__OXYD1-FULL-39-9,q F-
7371,g__Oblitimonas,FH
7372,g__Obscuribacter,FH
7373,g__Occidentia,FH
7374,g__Oceanibacterium,FH
7375,g__Oceanibaculum,FH
7376,g__Oceanicaulis,FH
7377,g__Oceanicella,FH
7378,g__Oceanicoccus,FH
7379,g__Oceanicola,FH
7380,g__Oceaniglobus,FH NNa
7381,g__Oceanihabitans,FH
7382,g__Oceanimonas,FH
7383,g__Oceanisphaera,FH
7384,g__Oceanispirochaeta,AH ANa
7385,g__Oceanitalea,FH
7386,g__Oceanithermus,AH
7387,g__Oceanivirga,FNa ANa
7388,g__Oceanobacillus,FH
7389,g__Oceanobacter,FH AH
7390,g__Oceanococcus,FH
7391,g__Oceanospirillum,FH ANa
7392,g__Oceanotoga,FNa
7393,g__Ochrobactrum,FH
7394,g__Ochrobactrum_A,FH
7395,g__Ochrobactrum_B,FH
7396,g__Ochrobactrum_C,FH
7397,g__Ochrovirga,FH
7398,g__Octadecabacter,FH
7399,g__Odoribacter,FH ANa
7400,g__Odyssella,FH
7401,g__Oecophyllibacter,FH
7402,g__Oenococcus,FH
7403,g__Oerskovia,FH
7404,g__Oharaeibacter,FH
7405,g__Ohtaekwangia,FH
7406,g__Okeania,FH
7407,g__Okibacterium,FH
7408,g__Olegusella,FH
7409,g__Oleiagrimonas,FH
7410,g__Oleibacter,FH
7411,g__Oleidesulfovibrio,FH
7412,g__Oleiliquidispirillum,FH
7413,g__Oleiphilus,FH
7414,g__Oleisolibacter,FH
7415,g__Oleispira,FH
7416,g__Oligella,FH
7417,g__Oligoflexus,FH NNa
7418,g__Olivibacter,FH
7419,g__Olleya,FH
7420,g__Olsenella,FH
7421,g__Olsenella_B,FH
7422,g__Olsenella_D,q FH
7423,g__Olsenella_E,FH
7424,g__OmCyn01,FH
7425,g__Omnitrophus,FH
7426,g__Omnitrophus_A,FH ANa
7427,g__Opi-474,FH
7428,g__Opitutus,FH
7429,g__Orbus,FH
7430,g__Orenia,FNa
7431,g__Oribacterium,FH ANa
7432,g__Oricola,FH NH
7433,g__Orientia,FH
7434,g__Ornatilinea,FH
7435,g__Ornithinibacillus,FH
7436,g__Ornithinibacter,FH
7437,g__Ornithinicoccus,FH
7438,g__Ornithinicoccus_A,FH
7439,g__Ornithinimicrobium,FH
7440,g__Ornithobacterium,FH
7441,g__Orrella,FH
7442,g__Oryzihumus,FH
7443,g__Oryzisolibacter,FH
7444,g__Oryzomicrobium,FH
7445,g__Oscillatoria,FH
7446,g__Oscillibacter,FH ANa
7447,g__Oscillochloris,FH
7448,g__Otariodibacter,FH
7449,g__Ottowia,FH
7450,g__Owenweeksia,FH
7451,g__Oxalicibacterium,FH
7452,g__Oxalobacter,FH
7453,g__Oxobacter,AH AH ANa
7454,g__Ozemobacter,FH ANa
7455,g__P4200,FH AH ANa
7456,g__P52-10,FH
7457,g__PALSA-1003,FH
7458,g__PALSA-1004,FH
7459,g__PALSA-1005,q FH
7460,g__PALSA-1006,FH
7461,g__PALSA-1081,FH
7462,g__PALSA-1104,FH
7463,g__PALSA-1152,q F-
7464,g__PALSA-1153,NH
7465,g__PALSA-1176,FH
7466,g__PALSA-1178,NH
7467,g__PALSA-1180,FH
7468,g__PALSA-1196,FH
7469,g__PALSA-129,FH
7470,g__PALSA-1295,FH
7471,g__PALSA-1296,q FH
7472,g__PALSA-1316,FH AH
7473,g__PALSA-1332,FH
7474,g__PALSA-1335,FH FH
7475,g__PALSA-1336,FH
7476,g__PALSA-1337,nothing
7477,g__PALSA-1347,FH NH
7478,g__PALSA-1353,FH
7479,g__PALSA-1355,FH
7480,g__PALSA-1396,q FNa
7481,g__PALSA-1440,FH
7482,g__PALSA-1444,ANa
7483,g__PALSA-1448,ANa
7484,g__PALSA-188,FH
7485,g__PALSA-243,FH
7486,g__PALSA-270,FH
7487,g__PALSA-278,q FH
7488,g__PALSA-350,q FH
7489,g__PALSA-457,FH
7490,g__PALSA-505,FH
7491,g__PALSA-555,FH
7492,g__PALSA-600,FH
7493,g__PALSA-607,FH AH
7494,g__PALSA-610,FH
7495,g__PALSA-612,nothing
7496,g__PALSA-647,FH
7497,g__PALSA-660,FH AH ANa
7498,g__PALSA-688,q FH
7499,g__PALSA-693,FH
7500,g__PALSA-743,q FH
7501,g__PALSA-747,FH
7502,g__PALSA-894,FH
7503,g__PALSA-911,FH NH
7504,g__PALSA-926,q FH FH
7505,g__PALSA-967,FH
7506,g__PALSA-968,FH
7507,g__PALSA-986,AH
7508,g__PB-SRB1,FH
7509,g__PBBK01,nothing
7510,g__PC08-66,FH
7511,g__PCC-10802,FH
7512,g__PCC-6312,FH
7513,g__PCC-6406,FH
7514,g__PCC-6802,FH
7515,g__PCC-7108,FH
7516,g__PCC-7336,FH ANa NNa
7517,g__PCC-7367,FH ANa
7518,g__PCC-7375,FH AH NNa
7519,g__PCC-7407,FH NNa
7520,g__PCC-7502,FH
7521,g__PCC-9228,FH
7522,g__PCC7113,FH
7523,g__PCPOR2b,FH
7524,g__PCYB01,nothing
7525,g__PD-1,FH
7526,g__PDOX01,q F-
7527,g__PDTW01,FH
7528,g__PETJ01,q N-
7529,g__PEVX01,nothing
7530,g__PEXW01,FH
7531,g__PEYC01,nothing
7532,g__PEYH01,nothing
7533,g__PEYW01,nothing
7534,g__PEZG01,nothing
7535,g__PEZQ01,nothing
7536,g__PFCU01,nothing
7537,g__PFCY01,nothing
7538,g__PFDC01,nothing
7539,g__PFDW01,FH
7540,g__PFEE01,FH
7541,g__PFEM01,nothing
7542,g__PFJX01,FH AH
7543,g__PFMI01,nothing
7544,g__PGXB01,FH
7545,g__PGXY01,FH AH ANa
7546,g__PGYE01,FNa
7547,g__PGYQ01,q FH
7548,g__PGYR01,FH
7549,g__PGYT01,FH
7550,g__PGYU01,FH
7551,g__PGYV01,FH NH
7552,g__PGZD01,FH AH
7553,g__PGZG01,q FH
7554,g__PH2015,FH
7555,g__PH28-bin88,FH
7556,g__PHAA01,FH
7557,g__PHAD01,FH
7558,g__PHAE01,ANa
7559,g__PHAN01,ANa
7560,g__PHBD01,FH NH
7561,g__PHBI01,FH
7562,g__PHCI01,FH
7563,g__PHEG01,FH
7564,g__PHET01,FH AH ANa
7565,g__PHEX01,nothing
7566,g__PHOS-HE28,FH
7567,g__PIVX01,FH
7568,g__PIWD01,FH
7569,g__PIYA01,nothing
7570,g__PIYB01,q AH
7571,g__PIYF01,nothing
7572,g__PIYN01,AH
7573,g__PJMF01,FH
7574,g__PJMG01,FH
7575,g__PKWO01,q FH
7576,g__PL-Br10-E2g29,AH
7577,g__PL-Br10-U2g16,AH
7578,g__PLA2,FH
7579,g__PLA3,FH
7580,g__PLA4,FH
7581,g__PLA5,FH
7582,g__PLOWO2-02-64-14,FH
7583,g__PLOWO2-12-38-17,ANa
7584,g__PLOWO2-12-39-15,FH
7585,g__PLZL01,q FH
7586,g__PLanc-01,AH ANa
7587,g__PMG-095,FH
7588,g__PMMR1,FH
7589,g__PMNU01,FH
7590,g__PMP191F,FH
7591,g__PN-J185,FH
7592,g__PNC21,FH
7593,g__PNC22,FH
7594,g__PNEW01,FH
7595,g__PNJM01,q FH
7596,g__PNKC01,FH
7597,g__PNKE01,FH
7598,g__PNKF01,FH
7599,g__PNKL01,FH
7600,g__PNKZ01,FH
7601,g__PNMQ01,FH
7602,g__PNNF01,FH
7603,g__PNNG01,FH
7604,g__PNNH01,FH
7605,g__PNNM01,ANa
7606,g__PNNN01,FH
7607,g__PNNO01,ANa
7608,g__PNNP01,q F-
7609,g__PNOF01,FH ANa
7610,g__PNOJ01,FH
7611,g__PNOM01,FH AH ANa
7612,g__PNON01,FH
7613,g__PNOQ01,nothing
7614,g__PP17-6a,AH ANa
7615,g__PPFX01,FH
7616,g__PPGL01,FH
7617,g__PR03,FH
7618,g__PRDT01,FH
7619,g__PRDV01,FNa
7620,g__PRO5,FH
7621,g__PRO6,FH
7622,g__PRS1,FH
7623,g__PRT-SC02,FH
7624,g__PRUG,nothing
7625,g__PSPM01,nothing
7626,g__PSPT01,AH
7627,g__PSRF01,FH
7628,g__PSRH01,nothing
7629,g__PSRI01,nothing
7630,g__PSRJ01,FH
7631,g__PSRL01,FH
7632,g__PSRM01,FH
7633,g__PSRN01,FH
7634,g__PSRQ01,FH
7635,g__PTET01,FH
7636,g__PTKB01,nothing
7637,g__PTKQ01,nothing
7638,g__PTKV01,q F-
7639,g__PTLJ01,q FH
7640,g__PUKE01,FH
7641,g__PUKZ01,FH ANa
7642,g__PUMD01,FNa
7643,g__PUML01,FH
7644,g__PUMT01,FH ANa
7645,g__PUMX01,FNa
7646,g__PUMZ01,ANa
7647,g__PUNB01,ANa
7648,g__PUNC01,ANa
7649,g__PUND01,nothing
7650,g__PUNJ01,FH
7651,g__PUNK01,ANa
7652,g__PUOA01,FH
7653,g__PUPC01,ANa
7654,g__PUPG01,FH ANa
7655,g__PUXW01,FH
7656,g__PUXX01,q FH
7657,g__PUXY01,FH
7658,g__PWEA01,nothing
7659,g__PWEI01,FH
7660,g__PWEK01,ANa
7661,g__PWGF01,ANa
7662,g__PWGL01,nothing
7663,g__PWGO01,q FNa
7664,g__PWGR01,FNa NNa
7665,g__PWHG01,FNa
7666,g__PWHR01,ANa
7667,g__PWHV01,AH
7668,g__PWHW01,ANa
7669,g__PWHX01,nothing
7670,g__PWIP01,nothing
7671,g__PWJC01,FH ANa
7672,g__PWJY01,FH
7673,g__PWKH01,ANa
7674,g__PWKY01,q ANa
7675,g__PWKZ01,FH ANa
7676,g__PWLA01,FH
7677,g__PWLF01,FH ANa
7678,g__PWLI01,FNa
7679,g__PWLR01,FH
7680,g__PWME01,FNa
7681,g__PWMO01,ANa
7682,g__PWMP01,ANa
7683,g__PWMY01,q FH
7684,g__PWMZ01,nothing
7685,g__PWND01,q ANa
7686,g__PWNM01,FNa
7687,g__PWNQ01,FH AH
7688,g__PWNV01,ANa
7689,g__PWNZ01,FNa
7690,g__PWOA01,FNa
7691,g__PWOD01,ANa
7692,g__PWPN01,FH
7693,g__PWPP01,FH
7694,g__PWPR01,FNa
7695,g__PWPS01,ANa
7696,g__PWQF01,ANa
7697,g__PWQG01,FH
7698,g__PWTC01,FNa
7699,g__PWTM01,ANa
7700,g__PWUB01,FNa
7701,g__PWUC01,FNa NNa
7702,g__PWVB01,NNa
7703,g__PWVH01,ANa
7704,g__PWVN01,q A-
7705,g__PWVO01,nothing
7706,g__PWVT01,FH
7707,g__PWVY01,AH
7708,g__PWWA01,nothing
7709,g__PWXJ01,q ANa
7710,g__PWXP01,ANa
7711,g__PWZK01,q ANa
7712,g__PXAH01,q F-
7713,g__PXAI01,FH
7714,g__PXAP01,FH ANa
7715,g__PXBB01,ANa
7716,g__PXBQ01,ANa
7717,g__PXCK01,FH
7718,g__PXCX01,ANa
7719,g__PXDC01,FH
7720,g__PXDE01,FH ANa
7721,g__PXDG01,ANa
7722,g__PXDI01,FH ANa
7723,g__PXDR01,FH
7724,g__PXDW01,nothing
7725,g__PXFI01,FH
7726,g__PXRE01,AH
7727,g__PXTQ01,FH
7728,g__PXYB01,AH
7729,g__PYGY01,FH
7730,g__PZKD01,ANa
7731,g__PZPK01,FH
7732,g__Paceibacter,nothing
7733,g__Pacificibacter,FH
7734,g__Pacificimonas,FH
7735,g__Pacificitalea,FH
7736,g__Paenactinomyces,FH
7737,g__Paenalcaligenes,FH
7738,g__Paenarthrobacter,FH
7739,g__Paenibacillus,FH
7740,g__Paenibacillus_A,FH
7741,g__Paenibacillus_AA,FH
7742,g__Paenibacillus_AB,FH
7743,g__Paenibacillus_AC,FH
7744,g__Paenibacillus_AE,FH
7745,g__Paenibacillus_AF,FH
7746,g__Paenibacillus_B,FH
7747,g__Paenibacillus_C,FH
7748,g__Paenibacillus_D,FH
7749,g__Paenibacillus_E,FH
7750,g__Paenibacillus_F,FH
7751,g__Paenibacillus_G,FH
7752,g__Paenibacillus_H,FH
7753,g__Paenibacillus_I,FH
7754,g__Paenibacillus_J,FH
7755,g__Paenibacillus_K,FH
7756,g__Paenibacillus_L,FH
7757,g__Paenibacillus_M,FH
7758,g__Paenibacillus_N,FH
7759,g__Paenibacillus_O,FH
7760,g__Paenibacillus_S,FH
7761,g__Paenibacillus_T,FH
7762,g__Paenibacillus_V,FH
7763,g__Paenibacillus_W,FH
7764,g__Paenibacillus_Z,FH
7765,g__Paeniglutamicibacter,FH
7766,g__Paenirhodobacter,FH NH
7767,g__Paenisporosarcina,FH
7768,g__Paenochrobactrum,FH
7769,g__Pajaroellobacter,FH
7770,g__Palaeococcus,ANa
7771,g__Palleronia,FH
7772,g__Palsa-1032,FH
7773,g__Palsa-1033,FH AH
7774,g__Palsa-1150,FH
7775,g__Palsa-1188,FH
7776,g__Palsa-1233,FH
7777,g__Palsa-1248,FH NNa
7778,g__Palsa-1315,FH
7779,g__Palsa-1382,FH
7780,g__Palsa-1392,FH NNa
7781,g__Palsa-1400,FH
7782,g__Palsa-1439,q FH
7783,g__Palsa-1447,FH NNa
7784,g__Palsa-147,FH
7785,g__Palsa-1515,FH
7786,g__Palsa-187,FH
7787,g__Palsa-189,FH
7788,g__Palsa-288,FH
7789,g__Palsa-295,FH
7790,g__Palsa-343,FH
7791,g__Palsa-360,FH
7792,g__Palsa-459,FH
7793,g__Palsa-461,FH
7794,g__Palsa-465,FH
7795,g__Palsa-504,FH
7796,g__Palsa-506,FH
7797,g__Palsa-513,FH
7798,g__Palsa-601,AH
7799,g__Palsa-661,AH
7800,g__Palsa-739,FH
7801,g__Palsa-744,FH
7802,g__Palsa-851,FH
7803,g__Palsa-870,FH
7804,g__Palsa-872,FH
7805,g__Palsa-875,FH AH
7806,g__Palsa-881,FH
7807,g__Palsa-883,FH NH
7808,g__Palsa-89,FH
7809,g__Palsa-892,FH
7810,g__Palsa-948,FH
7811,g__Palsa-955,FH
7812,g__Palsa-965,FH
7813,g__Palsibacter,FH
7814,g__Paludibacter,FH
7815,g__Paludibacterium,FH
7816,g__Paludifilum,FH
7817,g__Paludisphaera,FH
7818,g__Pan189,FH
7819,g__Pan216,FH
7820,g__Pan265,FH
7821,g__Pan44,FH
7822,g__Panacagrimonas,FH
7823,g__Panacibacter,FH
7824,g__Pandoraea,FH
7825,g__Pannonibacter,FH
7826,g__Pantoea,FH
7827,g__Pantoea_A,FH
7828,g__Papillibacter,q A-
7829,g__Parabacteroides,FH ANa
7830,g__Parabacteroides_B,FH ANa
7831,g__Paraburkholderia,FH
7832,g__Paracaedibacter,FH
7833,g__Paracaedibacter_A,FH
7834,g__Paracaedimonas,FH
7835,g__Paracandidimonas,FH
7836,g__Parachlamydia,FH ANa
7837,g__Paraclostridium,FNa
7838,g__Paracnuella,FH
7839,g__Paracoccus,FH
7840,g__Paracraurococcus,FH
7841,g__Paradesulfovibrio,FH NNa
7842,g__Paraeggerthella,FH
7843,g__Paraferrimonas,FH
7844,g__Parafilimonas,FH
7845,g__Paraflavitalea,FH
7846,g__Parageobacillus,FH
7847,g__Paraglaciecola,FH
7848,g__Parahaliea,FH
7849,g__Paralactobacillus,FH
7850,g__Paralcaligenes,FH
7851,g__Paraliobacillus,FH
7852,g__Paraliobacillus_A,FH
7853,g__Paramaledivibacter,FNa AH
7854,g__Paramesorhizobium,FH
7855,g__Paramuribaculum,FH
7856,g__Paraoceanicella,FH NH
7857,g__Paraoerskovia,FH
7858,g__Parapedobacter,FH
7859,g__Paraperlucidibaca,FH
7860,g__Paraphotobacterium,FH
7861,g__Parapontixanthobacter,FH
7862,g__Paraprevotella,FH ANa
7863,g__Parapusillimonas,FH
7864,g__Pararcticibacter,FH
7865,g__Pararheinheimera,FH
7866,g__Pararhizobium,FH
7867,g__Pararhodobacter,FH
7868,g__Pararhodospirillum,FH
7869,g__Pararobbsia,FH
7870,g__Parascardovia,FH
7871,g__Parasedimentitalea,FH
7872,g__Parashewanella,FH
7873,g__Parasphingopyxis,FH
7874,g__Parasphingorhabdus,FH
7875,g__Parasporobacterium,FH ANa
7876,g__Parasutterella,FH
7877,g__Paraurantiacibacter,FH
7878,g__Parendozoicomonas,FH ANa
7879,g__Parerythrobacter,FH
7880,g__Parolsenella,FH
7881,g__Parvarchaeum,AH
7882,g__Parvibacter,FH
7883,g__Parvibaculum,FH
7884,g__Parvibium,FH
7885,g__Parvimonas,AH ANa
7886,g__Parvularcula,FH
7887,g__Pasteurella,FH
7888,g__Pasteuria,FH
7889,g__Patulibacter,FH
7890,g__Paucibacter,FH
7891,g__Paucibacter_A,FH
7892,g__Paucidesulfovibrio,FH
7893,g__Paucilactobacillus,FH
7894,g__Paucimonas,FH
7895,g__Pauljensenia,FH
7896,g__Pb10988,FH
7897,g__PeH17,FNa
